[00:00.000 --> 00:02.000]  We've got it
[03:25.220 --> 03:30.180]  Realized about the two sites now. It's I got a wired some to and a couple other seen it but
[03:30.180 --> 03:38.540]  And I saw these headlines out of Bloomberg China eclipses us as biggest trading nation measured in goods and
[03:39.420 --> 03:42.320]  Then I saw this other one fed holdings of US
[03:43.220 --> 03:47.380]  Government debt hit one point six nine six six nine one
[03:49.260 --> 03:50.340]  Trillion up
[03:50.340 --> 03:54.700]  257 percent under Obama, and I thought I would break this down today
[03:54.700 --> 03:58.900]  I was already planning it, and I'm glad that drudge is concerned about it
[03:58.900 --> 04:00.900]  because
[04:02.060 --> 04:04.100]  This is not a big enough issue out there
[04:04.100 --> 04:06.900]  I mean, it's not even on the radar screen for more stuff for most people
[04:07.060 --> 04:14.520]  How did we even allow the communist dictatorial Chinese to own our debt, and what is this part of in the future?
[04:16.180 --> 04:21.540]  And again, it's really not our debt most of it is derivatives. We've signed on to so I'm gonna be breaking down
[04:21.540 --> 04:28.660]  This fact again and more to tell today because being aware of this is what is going to allow ourselves
[04:29.060 --> 04:36.940]  To extricate ourselves from this engineered system the globalists have decided to transfer everything to India and China and the third world
[04:37.340 --> 04:39.580]  They did and it's not going to benefit their people either
[04:39.700 --> 04:43.640]  They've decided to impoverish us as a tool of political control
[04:43.640 --> 04:51.340]  All this and a lot more a new cybersecurity power grab as well. It's all coming up. I'm Alex Jones
[04:52.340 --> 04:56.640]  Transmitting worldwide you are listening to the voice of the resistance
[04:58.760 --> 05:01.400]  It's no secret that pathogens such as bacteria
[05:02.080 --> 05:05.940]  Viruses moles and fungus can inflict severe damage in the human body
[05:06.360 --> 05:10.480]  Fortunately a new and fastly improved silver solution has been developed
[05:10.480 --> 05:13.920]  Super natural silver is a revolutionary broad-spectrum
[05:15.120 --> 05:17.120]  antibacterial antiviral
[05:17.160 --> 05:21.360]  antifungal solution that can be used inside the body as well as on the skin
[05:22.160 --> 05:28.760]  Supernatural silver is unique and superior to colloidal and ionic silvers using a patented technology
[05:28.760 --> 05:35.240]  That is highly effective against coals flus infections food poisoning and yeast in addition to many other pathogens
[05:36.040 --> 05:37.800]  supernatural silver is
[05:37.800 --> 05:45.040]  scientifically supported extremely safe and is the number one choice of thousands of people for immune system support find out how
[05:45.760 --> 05:48.320]  supernatural silver could change your life go to
[05:48.800 --> 05:53.760]  supernatural silver comm and use the promo code healthy for 20% off that's
[05:54.480 --> 05:57.920]  supernatural silver comm and like us on Facebook I
[05:57.920 --> 06:04.440]  You I have sworn upon the altar of God
[06:05.360 --> 06:10.840]  eternal hostility against every form of tyranny over the mind of man
[06:11.680 --> 06:17.360]  Thomas Jefferson, it's Alex Jones on the GCN radio network. I
[06:17.360 --> 06:26.180]  Love to open the broadcast especially on the Sunday transmission with the words of Thomas Jefferson
[06:26.620 --> 06:30.820]  It's like dumping a ocean of holy water on Count Dracula
[06:31.620 --> 06:33.020]  it is
[06:33.020 --> 06:35.020]  to the order of 10
[06:35.180 --> 06:40.980]  The equivalent of drawing your fingernails across a chalkboard for authoritarian control freak
[06:40.980 --> 06:47.180]  a sycophants worldwide ladies and gentlemen I want to thank you all for
[06:47.780 --> 06:49.780]  Joining us on this Sunday
[06:50.180 --> 06:52.100]  February 10th
[06:52.100 --> 06:53.220]  2013
[06:53.220 --> 06:59.320]  Global transmission we have a very important broadcast lined up for you yet again today
[07:00.420 --> 07:06.260]  For all of our am&fm affiliates across the United States and people listening to the internet streams at info wars
[07:06.260 --> 07:11.220]  Calm and prison planet comm as well as viewers at info wars news.com
[07:12.020 --> 07:17.300]  Thank you so much for tuning in today. All right. Let me just do this. Let me just try
[07:17.900 --> 07:20.920]  To just go over some headlines for you and then dive in
[07:21.500 --> 07:27.220]  to the top stories that are military economic and authoritarian in nature dealing with
[07:27.940 --> 07:33.820]  domestic drones Pentagon drones being used now in the manhunt for the reported
[07:33.820 --> 07:36.180]  rampaging former cop
[07:36.620 --> 07:42.380]  Who's shooting people and then the police are keep shooting vehicles that aren't even the same color or make a model. They've now
[07:43.020 --> 07:48.360]  Attacked and shot up. They're saying a second but from my reading it's the third vehicle that looks nothing like it
[07:48.360 --> 07:49.860]  I mean you could be driving a
[07:49.860 --> 07:51.860]  you could be driving a
[07:52.060 --> 07:58.440]  Unicycle and they go crazy. What is behind this hysteria the wicked flee when none pursue. I think it's a Bible verse
[07:58.580 --> 08:00.940]  I'm not saying the LAPD are all wicked
[08:00.940 --> 08:06.560]  But this this is a hysterical activity coming up huge asteroid will miss by 15 minutes
[08:06.660 --> 08:11.220]  That's what NASA says using a timing of the fact that it was at its speed of
[08:12.060 --> 08:19.380]  17,000 miles an hour that's about 15 minutes away from the earth or inside the main belt of satellites
[08:20.020 --> 08:22.020]  but the asteroid
[08:22.020 --> 08:30.900]  Is also 17,000 miles away when it passes not just moving that fast. So NASA says everything is going to be absolutely a-okay
[08:31.260 --> 08:35.460]  And I tend to believe them because if a real ashram is gonna be hitting us they wouldn't be telling us about it
[08:35.460 --> 08:40.940]  I can assure you but they say in the hundred years or so. They've been tracking asteroids
[08:41.940 --> 08:46.900]  With telescopes and radio systems. This is the closest one has ever passed and it would be
[08:46.900 --> 08:54.740]  The hundreds of thousands of megatons the equivalent of hydrogen bombs going off if it was to actually
[08:55.300 --> 08:57.300]  Hit the planet Earth
[08:58.060 --> 09:04.740]  Okay, so that story is obviously important, but we'll cover it more a little bit later in the transmission
[09:05.540 --> 09:08.020]  the storm that has
[09:08.940 --> 09:10.940]  hit the
[09:10.940 --> 09:17.900]  North East has killed reportedly 10 people and left millions without power and stranded 700,000 individuals and
[09:19.900 --> 09:26.060]  My only question is this why is FEMA again putting up signs outside their offices saying closed for the storm
[09:26.060 --> 09:31.300]  I thought they're the people that are going to protect us winter storm Barry's Northeast leaves 10 dead
[09:31.700 --> 09:37.180]  700,000 powerless I also was reading stranded New Englanders are digging out three feet of snow
[09:37.180 --> 09:44.140]  And I said before feet and stranded motors were still being reached by emergency crews early Sunday in front of the biggest blizzards of generation
[09:44.220 --> 09:46.500]  Left at least 10 people dead and over
[09:47.220 --> 09:49.980]  700,000 electricity across the Northeast of course the answer
[09:50.860 --> 09:53.340]  To Nemo or Nemo the storm
[09:53.740 --> 09:58.620]  Is to pay Al Gore more money because every time there's bad weather hot or cold
[09:58.820 --> 10:05.020]  Al Gore says pay carbon credits on all carbon dioxide that plants breathe and this bad weather will stop
[10:05.020 --> 10:09.060]  There's always bad weather somewhere in the world. There's tens of thousands of microclimates
[10:09.940 --> 10:11.940]  in the planet
[10:12.060 --> 10:15.260]  But that's just some of the news on that front
[10:15.980 --> 10:23.740]  Israel is saying they may strike Syria on a routine basis now and again. I'm not an enemy of Israel, but at the same time
[10:24.900 --> 10:30.140]  Assad didn't attack anybody he's been pretty mainline the last decade since his dad died and
[10:30.140 --> 10:38.140]  Our government and NATO are putting al-qaeda in Libya and Syria to take over those countries
[10:38.140 --> 10:44.900]  And they're engaged in ethnic cleansing of Christians and Muslim minorities, and it's all on record and you turn on CNN
[10:44.900 --> 10:47.260]  It's like the valiant freedom fighters move towards
[10:48.060 --> 10:55.060]  Damascus and on and on while they're they're the ones attacking and they're the ones committing the atrocities. This is not some internal
[10:55.700 --> 10:57.300]  operation to overthrow
[10:57.300 --> 10:59.300]  the Assad regime
[10:59.300 --> 11:02.420]  The the interests that have hijacked our country
[11:04.060 --> 11:06.860]  The people that have conquered us through financial fraud
[11:06.860 --> 11:13.660]  I'm gonna get to that in a moment are the ones using al-qaeda to take over Libya and Syria, and it's totally immoral
[11:13.660 --> 11:15.400]  It's a preemptive
[11:15.400 --> 11:19.180]  Invasion and some say oh come on Alex. Let's get rid of Arab dictators
[11:19.420 --> 11:23.300]  What get rid of Mubarak and then put the Muslim Brotherhood in?
[11:24.300 --> 11:28.140]  Who are now running around sexually mutilating women and you know everything else?
[11:28.140 --> 11:30.740]  I mean put put something ten times worse in
[11:32.220 --> 11:37.400]  In fact how about a hundred times worse because the Muslim Brotherhood's just funding fronting for the Saudi Arabia
[11:38.300 --> 11:43.920]  And the jihadis and now put actual al-qaeda and living in Syria, and they're beheading Christians
[11:43.920 --> 11:46.700]  And that's in the foreign news, but not on the news here
[11:46.700 --> 11:46.960]  I mean
[11:46.960 --> 11:48.020]  It's Twilight Zone
[11:48.020 --> 11:54.840]  And then if I fly the TSA wants to grab my genitals because al-qaeda might be hiding in my Calvin Klein underwear
[11:54.840 --> 11:57.680]  Or might be hiding in my Fruit of the Loom underwear
[11:58.680 --> 12:03.100]  While the government runs al-qaeda, I mean listen. I'm done. Okay. I'm done
[12:04.000 --> 12:09.160]  Here's the Washington Post Israeli strike in Syria might be first in series
[12:09.840 --> 12:13.280]  And they just say oh we've taken four or five miles in a buffer zone
[12:13.440 --> 12:18.000]  They already took some of that back in the 60s and why not just take the whole country as a buffer zone
[12:18.000 --> 12:20.500]  And they say because of al-qaeda
[12:20.500 --> 12:27.860]  You've got to love the fact that Israel NATO the United States. That is the interest running these countries
[12:28.940 --> 12:34.940]  The people are all pretty much the same. It's one a good future for the children whether you're Syrian Israeli American French
[12:35.540 --> 12:37.540]  Pretty much humans are humans people are people
[12:37.940 --> 12:44.820]  But just the the bizarreness that they're doing this and the media is not even making a big issue out of it even though
[12:44.820 --> 12:48.900]  We know it's controlled media. This is bizarre. I mean this would be like saying
[12:48.900 --> 12:55.260]  Superman is Lex Luthor. You'd go no. He's not Superman's the enemy of Lex Luthor
[12:56.140 --> 12:59.020]  it's it's it's it's that dumbed down and
[12:59.780 --> 13:01.820]  Bizarro to use another term
[13:02.580 --> 13:06.940]  Out of comic books that this is going on that it doesn't even compute for me
[13:06.940 --> 13:13.540]  I mean, that's how stupid the system thinks you are the propaganda is targeted at about a third grade level literally
[13:13.540 --> 13:21.180]  The bad man wear turban we take your rights and set up checkpoint for a bad man in turban
[13:21.340 --> 13:27.500]  I'm like well, and we're all lucky CIA. It's been leaked and confirmed that he hangs out at the Pentagon and got orders
[13:27.540 --> 13:35.180]  No, he's bad man in turban. No. No he works for you. What you say America al-qaeda no criminal
[13:35.900 --> 13:42.260]  Elements that have hijacked America are using al-qaeda to take over whoever they want and to menace us
[13:42.260 --> 13:48.500]  So the system can play the part of the good cop and take our rights you understand that the foreign banks of the good cop
[13:48.700 --> 13:52.820]  The bad cop is al-qaeda. It's very elementary
[13:54.260 --> 13:56.260]  It's very elementary
[13:56.260 --> 14:03.020]  Senator Palpatine hires mercenaries to attack his own planet to become dictator that star wars episode 3
[14:03.260 --> 14:10.020]  Five-year-olds can figure it out can adults figure it out. Can you figure it out? Can you figure it out?
[14:10.020 --> 14:14.420]  Can you figure it out? That is the 64 trillion dollar question?
[14:16.740 --> 14:21.460]  All right when we come back here, that's just some of the news DHS
[14:22.860 --> 14:24.860]  watchdog
[14:24.900 --> 14:26.900]  Okays
[14:27.060 --> 14:32.940]  Suspicionless seizures of electronic devices along border and the problem is they grab US citizens computers
[14:32.940 --> 14:36.620]  And sometimes just don't give them back when you fly in and then the last time before they got stopped
[14:36.620 --> 14:40.700]  They were doing it to anybody that flew they just take your laptop and download the contents without a warrant
[14:40.900 --> 14:46.460]  Police are now doing this with your cell phones saying it's not part of your person papers or effects
[14:46.820 --> 14:52.500]  Really fourth amendment person papers or effects my iPhone is not my effects
[14:54.500 --> 14:56.800]  And then we've got another one even bigger here
[14:57.620 --> 14:59.140]  cispa back
[14:59.140 --> 15:01.140]  hacking online espionage
[15:01.140 --> 15:09.100]  Resurrect cybersecurity bill which even seen at news that CBS shows is Russian or Chinese style
[15:09.460 --> 15:16.180]  Internet censorship so all of that is coming up, but first when we come back the top stories
[15:16.820 --> 15:24.620]  We have been maneuvered by design to be debtors to the communist Chinese and the globalists are on record saying they're going to impoverish
[15:24.940 --> 15:27.860]  Americans but also lessoners as a tool of political control
[15:27.860 --> 15:32.780]  And I'm gonna tie that into the police state Christopher Dorner the first u.s.
[15:32.780 --> 15:38.380]  Homeland drone strike victim current TV saying that the Al Jazeera and Al Gore run system
[15:39.100 --> 15:42.880]  And we've got it also out of Reuters, but it's not true because
[15:43.740 --> 15:50.540]  Look at this meet the North Dakota family of anti-government separatists busted by cops using a predator drone. That was two years ago
[15:50.820 --> 15:55.960]  They're using drones all the time the military industrial complex that Dwight D
[15:55.960 --> 15:58.600]  Eisenhower warned us about but I guess he's with al-qaeda
[16:01.640 --> 16:09.900]  If you want an American company with American products made by Americans here is the Cal Ben soap company
[16:10.120 --> 16:17.200]  Alex and his staff have used these pure soap products for years these all-natural soaps are made from the highest quality
[16:17.680 --> 16:23.920]  Vegetable and coconut oils that are earth-friendly and safe see them on the web at five star soap
[16:23.920 --> 16:28.920]  Dot-com or call eight hundred three four zero seven zero nine one for a free catalog
[16:29.240 --> 16:35.520]  by the one to two months sample package and enjoy soaps that are twice as good as what you're using now or
[16:35.760 --> 16:40.540]  Save big with a one to two year supply of soaps for all your cleaning needs
[16:40.600 --> 16:44.680]  This is an amazing deal you can save thousands of dollars
[16:44.680 --> 16:51.240]  And you will love the way real soap makes you feel see them on the web at five star soap calm or call
[16:51.240 --> 16:55.440]  eight hundred three four zero seven zero nine one for a free catalog
[16:59.640 --> 17:04.360]  Alex Jones here with a message to fellow freedom lovers the prognosis for the entire
[17:04.600 --> 17:09.720]  Planetary economic system runs from bad to worse the globalist model is to shut down
[17:10.200 --> 17:15.040]  Societies and starve patriots out until they acquiesce to the global takeover
[17:15.040 --> 17:20.540]  That's why we've assembled the most vital and important preparedness items at info wars shop calm
[17:20.540 --> 17:23.240]  These are items that I did research on that
[17:23.240 --> 17:28.960]  I personally use you've got the life straw so you can turn fetid water into safe water anywhere
[17:28.960 --> 17:35.640]  You go the Ktor hand crank generator to charge up key equipment during power outages are out in the field strategic
[17:36.000 --> 17:40.360]  Relocation third edition by Joel Skousen when disaster strikes by Matthew Stein
[17:40.880 --> 17:47.860]  Thera-safe used by Homeland Security to protect yourself during any radiological event and crank shortwave AM FM radios
[17:47.860 --> 17:54.900]  Everything that we've researched and found to be the best is available at info war shop calm and your purchase makes our info war
[17:54.980 --> 17:59.240]  Possible we're getting prepared are you info wars shop calm?
[17:59.700 --> 18:03.020]  You prepare by purchasing gold food and firearms
[18:03.100 --> 18:05.380]  But if you don't have a home security system
[18:05.380 --> 18:11.100]  And you're missing a critical weapon in your arsenal for home protection when you're sleeping or away from home
[18:11.100 --> 18:14.600]  Who's watching out for intruders check out simply safe?
[18:14.600 --> 18:21.480]  It's a new do-it-yourself home security system that is completely wireless go to get simply safe calm
[18:22.020 --> 18:28.740]  Simply safe is independent and off the grid it runs on battery power so even if the grid goes down you are protected
[18:28.860 --> 18:37.420]  It's completely customizable, so you can use it in your home business boat trailer storage unit or shed get simply safe calm
[18:38.100 --> 18:42.500]  Simply safe is also ridiculously easy to install yourself in under 20 minutes
[18:42.500 --> 18:48.420]  So there's no need to let a stranger into your home if you move or need to relocate you can take the system with you
[18:48.420 --> 18:55.940]  Wherever you go you aren't always at home, but simply safe will stand guard protecting your property 24 hours a day seven days a week
[18:56.460 --> 18:58.820]  Again, that's get simply safe calm
[18:59.620 --> 19:05.380]  Introducing pro wine all of your filtration in one system portable on the go no more
[19:05.380 --> 19:12.740]  Do you have two or three filters to just reduce sodium fluoride you have a system that cuts out the sodium fluoride and up to?
[19:13.300 --> 19:20.540]  95% of hydrofluorosolic acid advanced manufacturing technology combines silver impregnated white ceramic with new
[19:21.060 --> 19:26.580]  Aquametics advanced media for removal of fluoride and other heavy metals all in one filter element
[19:26.580 --> 19:32.900]  It is the only one that does it and out of the gates we have a discounted at 10% off with promo code water
[19:32.900 --> 19:38.580]  This is the only system that in one unit helps reduce or remove pesticides
[19:38.980 --> 19:40.820]  herbicides chloramines
[19:40.820 --> 19:42.620]  ammonia and chlorine
[19:42.620 --> 19:49.380]  Hydrofluorosolic acid the most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate
[19:50.180 --> 19:56.580]  Get your pro pure with a new pro one filters today at info war store comm or by calling 888-25-33139
[19:56.580 --> 19:58.580]  5 3 3 1 3 9
[20:01.060 --> 20:08.580]  Coast-to-coast direct from Austin you're listening to the alex jones broadcasting network network
[20:08.580 --> 20:32.300]  From Austin, Texas broadcasting worldwide, it's alex jones
[20:32.300 --> 20:39.580]  Back my friends Alex Jones here live as we are every Sunday 4 to 6 p.m.. The syndicated weekday transmission
[20:39.580 --> 20:43.700]  Of course 11 a.m.. To 2 p.m.. Central Standard Time as well
[20:45.700 --> 20:51.860]  Okay where to start here in the second hour, I'm gonna open the phones up specifically
[20:52.900 --> 20:54.900]  for the families and
[20:54.900 --> 21:01.620]  Those that have been victimized by the the epidemic of suicides
[21:02.340 --> 21:09.180]  by active duty, but also of veterans now 22 a day as of just a few weeks ago and
[21:10.060 --> 21:11.820]  the mainstream media
[21:11.820 --> 21:16.980]  Doesn't want to focus on this the system the establishment just wants to wrap itself
[21:17.340 --> 21:20.740]  in the heroism of the men and women of the Armed Services
[21:21.740 --> 21:23.740]  and their missions
[21:23.740 --> 21:26.340]  And get reflected glory from it
[21:26.340 --> 21:33.180]  And then speak for them while stealing their pension funds while using them for guinea pigs and medical experiments
[21:33.260 --> 21:37.380]  the list goes on and on we're gonna really talk about this in the
[21:38.100 --> 21:40.500]  second hour on the Sunday transmission and
[21:41.100 --> 21:44.500]  Humanize these folks you can hear them call in hear their names
[21:45.500 --> 21:46.980]  I
[21:46.980 --> 21:50.620]  Mean I myself could go pull up local news articles all over the place
[21:50.620 --> 21:55.700]  I mean I know people who've got family in the military who've committed suicide. I know you know people
[21:55.700 --> 21:58.180]  I mean, it's 22 a day. It's it's it's over
[21:58.860 --> 22:00.860]  10,000 just the last few years
[22:01.180 --> 22:03.180]  It dwarfs combat
[22:04.060 --> 22:10.020]  Related fatalities and so you're gonna hear all this hype about 20 dead children at Sandy Hook
[22:10.020 --> 22:13.340]  And we need to turn our guns in or you're gonna hear we got to shut down all of Southern
[22:13.500 --> 22:16.300]  California and have a total police state forever because one
[22:16.300 --> 22:20.100]  Individual allegedly goes crazy and kills three police
[22:21.100 --> 22:27.300]  But you're not gonna hear the media get all hysterical and chew their fingernails and hide under the table over 22
[22:27.580 --> 22:29.100]  servicemen and women
[22:29.100 --> 22:33.900]  Committing suicide every single day so we're going to be hearing from callers
[22:33.900 --> 22:38.380]  I mean I could easily get family you know members of folks that have died here in studio
[22:38.380 --> 22:40.380]  But instead we'll just hear from you
[22:40.940 --> 22:44.780]  Specifically if you've lost family direct family close relationships
[22:44.780 --> 22:49.260]  direct family close relation, and we don't screen calls here, but occasionally I
[22:51.260 --> 22:53.260]  Give out the number
[22:53.820 --> 22:59.100]  And say you know only on this topic and so it is only on that topic when I give the number out at the end
[22:59.100 --> 23:01.780]  Of the hour coming up here in about 37 minutes from now
[23:03.100 --> 23:07.980]  So stand by for that we want to get your take on the situation on why you think it's happening
[23:07.980 --> 23:12.660]  I mean I I know why it's happening. It's a cocktail of reasons, but too many tours
[23:12.660 --> 23:15.380]  Psychotropic drugs experimental drug programs
[23:15.940 --> 23:22.180]  And coming home, and there's not being jobs and a lot of people are scared of this and they shouldn't make a statistically
[23:22.420 --> 23:26.260]  They're not any more violent than anybody else in fact some of the best workers out there in my experience
[23:28.580 --> 23:34.740]  But you got a lot of people that don't like veterans, and you got Homeland Security saying they're the number one terror threat
[23:36.980 --> 23:40.260]  Well I guess if you're afraid of Americans taking the country back ever
[23:40.260 --> 23:46.820]  I guess the British government listed former veterans of the Red Coats and former veterans of the French in
[23:47.460 --> 23:48.900]  Indian War
[23:48.900 --> 23:53.460]  To be rounded up and have their guns turned in in 1775 this isn't the first time
[23:54.100 --> 23:56.340]  Corrupt empires have tried to disarm the veterans
[23:57.300 --> 24:04.340]  After the czars fell the Soviets did it well before they became the Soviet Empire the communists did it the Bolsheviks did it?
[24:04.820 --> 24:08.340]  I don't want to digress into a history lesson. I'm gonna get to that in the next few minutes
[24:08.340 --> 24:14.180]  I want to digress into a history lesson. I'm gonna get to that in the next segment on why we've been maneuvered by the globalist
[24:15.700 --> 24:21.540]  To be absolutely bankrupted by design and I want to break down how that ties into agenda 21
[24:21.940 --> 24:25.540]  China eclipses us as big as trading nation measured in goods
[24:26.320 --> 24:27.460]  Bloomberg
[24:27.460 --> 24:34.180]  And we'll get into what the fellow reserves up to now now. That's the real rubicon right there as of 2012 numbers
[24:34.180 --> 24:38.340]  They've now come out month and a half later as they always did
[24:39.540 --> 24:46.500]  The only reason the US is still a bigger GDP than China is the fiat money the Federal Reserve notes
[24:47.460 --> 24:48.900]  and they're
[24:48.900 --> 24:51.940]  They're rapidly devaluing those because here in this article
[24:52.580 --> 24:58.100]  Feds holdings of US government debt notice it says feds. That's the private fellow reserve
[24:58.660 --> 25:03.380]  But they're backed up by the treasury so they want to buy it because the US taxpayer has to back it up
[25:03.380 --> 25:07.540]  They buy it with Fiat zeros and ones Federal Reserve just puts it on a ballot sheet
[25:08.020 --> 25:13.780]  they buy our debt and then sell it to the communist Chinese and others or hold it and
[25:14.120 --> 25:18.820]  Then we in turn the American people have to pay it back to the Fed
[25:19.020 --> 25:23.420]  Which is the private Federal Reserve set up by Standard Oil and others in 1913?
[25:23.620 --> 25:27.460]  It's just a giant who can't just arrest these people like Bernie Madoff and Ken Lay
[25:27.860 --> 25:32.260]  Just it can all in real quick sure it takes some triaging debt riding and off
[25:32.260 --> 25:34.820]  They're already writing off this debt by the way there
[25:34.820 --> 25:35.460]  They're fake debt
[25:35.460 --> 25:42.500]  They just use it as a black hole to shove our money into to get us more into debt because again when you're involved in
[25:42.500 --> 25:49.400]  Fiat the only reason it's valuable is getting us to accept it and believe it's our debt to then get real assets
[25:51.020 --> 25:55.380]  It's not just getting the real assets it's being able to selectively
[25:56.820 --> 25:58.820]  enforce
[25:58.820 --> 26:04.500]  And shut down your competition. You know just 30 years ago if you study the history of it
[26:05.860 --> 26:09.120]  When Republicans got in office they would audit all the Democrats
[26:10.140 --> 26:12.260]  That is Democrats in federal government
[26:12.840 --> 26:18.820]  They would harass them when Democrats got in they would do the same thing and the kibosh kind of got put on that with Nixon
[26:18.820 --> 26:22.140]  So I guess about 38 years ago or so he got in trouble for that
[26:23.300 --> 26:24.900]  now
[26:24.900 --> 26:30.500]  The parties don't do it to each other so much because they're all one big criminal gang at the top of the committee chairman level
[26:30.620 --> 26:35.440]  They do it to the American people and they do it to former CIA
[26:36.260 --> 26:37.600]  FBI
[26:37.600 --> 26:42.260]  Folks that haven't told the line and the words out there keep your mouth shut or you'll you know
[26:42.260 --> 26:45.380]  We'll come take everything you got. I mean it's just such intimidation
[26:45.380 --> 26:51.760]  They're arresting whistleblowers that expose torture and putting them in jail for 30 months. I mean you know the CIA guy last week
[26:51.760 --> 26:54.480]  Just got convicted. I mean if this is
[26:55.880 --> 27:00.200]  when liberty and freedom fails the best men rot in filthy jails and
[27:00.840 --> 27:07.420]  Those that cried appease appease are hung by those they tried to please I mean there's no doubt
[27:08.880 --> 27:10.200]  That
[27:10.200 --> 27:13.520]  You know what a red and silver 57 Chevy looks like
[27:14.400 --> 27:17.320]  You know what a 69 Corvette looks like don't you?
[27:17.320 --> 27:20.400]  You know what an elephant looks like
[27:21.120 --> 27:28.120]  This looks like a big nasty stinking dangerous horrible aggressive malignant super cancer tyranny
[27:29.080 --> 27:31.080]  super cancer tyranny
[27:31.920 --> 27:36.600]  Government gone absolutely crazy haywire power trip from every level
[27:37.000 --> 27:43.440]  Unaccountable more and more the only areas of the country still growing still prospering despite the depression
[27:43.440 --> 27:47.600]  Are areas that were behind the curve on big government like, Texas
[27:48.480 --> 27:53.120]  But we're still an incredible third world police state compared to many other
[27:53.960 --> 27:57.560]  Areas in our past. It's just that we are we're a part of the body
[27:57.560 --> 28:03.320]  You know a group of organs that don't have all the deadly cancer completely yet, and we're not going into organ failure yet
[28:03.520 --> 28:06.880]  So everybody's like running here as a lifeboat. It's being swamped
[28:07.880 --> 28:10.960]  And the globalist goal is to swamp us is to sink us
[28:10.960 --> 28:13.920]  I'm gonna explain that in the next segment in fact. I said in the next segment
[28:13.920 --> 28:21.560]  I'm already into the next segment haven't gotten to my next big piece of news when we come back. I'll get into Christopher Dorner and
[28:22.800 --> 28:25.640]  Again the story is overblown and hyped
[28:25.640 --> 28:31.480]  But in the story you can educate and inform people about how the world really works
[28:31.480 --> 28:38.560]  So it is a treasure trove despite the fact that it's a tragedy to understand the mind of megalomania and
